Paper_No,Molecular_Markers,Paper_ID,ES_ID,Journal,Pub_Year,Pop_region,Year_sampled,Duration_sampling,IUCN_Category,Living_Type,Sampling_size,Aquatic_Family_Refined,Genus,Population_ID,Water_type,IUCN_Code,IUCN_value,IUCN_clade,clade2,Latitude,Latitude_Clade,Longitude,He,MDR,ISO,MTWQ,Elevation,slope,Evaporation,AMT,MTDQ,PWM,PDM,AMP,Channel,Discharge,anthrome_clade,iso_clade2,BOD,Fecal,TDS,TP,TNFux,WT,TN_nitrite1
P1_1,AFLP,Zhang_et_al,1,Molecular_Ecology,2010,South_America,2009,15,Common,Floating,3,Pontederiaceae,Eichhornia,Eichhornia_crassipes,Freshwater,14.1,1401,Arable Land,Artificial,-32.95,South_temper,-60.67,1,11.5,0.45275589,23.01666641,29,89.27330017,1.473333329,17.44166756,11.13333321,139,34,85,46350.46485,2.53440247,Urban,clade40,83.64790535,3446.526367,404.367068,691.7086792,14.75297832,17.84685961,2.016148806
P1_2,AFLP,Zhang_et_al,2,Molecular_Ecology,2010,South_America,2009,15,Common,Floating,10,Pontederiaceae,Eichhornia,Eichhornia_crassipes,Freshwater,1.6,106,Subtropical/tropical moist lowland,Forest,-3.12,South_tropical,-59.88,0.644,7.716666698,0.812280884,26.35000038,10,89.79292297,2.920000037,26.86666679,27.18333435,298,61,185.0833333,915454981.3,79204.94336,Woodlands,clade80,0.002156296,0.522144713,7.333523194,471.989502,16.79090691,27.44384702,0.600511611
P1_3,AFLP,Zhang_et_al,3,Molecular_Ecology,2010,South_America,2009,15,Common,Floating,31,Pontederiaceae,Eichhornia,Eichhornia_crassipes,Freshwater,1.6,106,Subtropical/tropical moist lowland,Forest,-3.1,South_tropical,-60.05,0.351,8.216667175,0.813531342,26.48333359,41,89.91220856,2.905000031,26.98333359,27.30000114,314,78,200,278180196,21840.58504,Urban,clade80,0.002069087,0.427658298,8.958429257,512.7582397,15.26827908,27.62186368,0.594929934
P1_4,AFLP,Zhang_et_al,4,Molecular_Ecology,2010,South_America,2009,15,Common,Floating,14,Pontederiaceae,Eichhornia,Eichhornia_crassipes,Freshwater,1.6,106,Subtropical/tropical moist lowland,Forest,-3.78,South_tropical,-73.3,0.495,10,0.862068939,26.29999924,92,88.79975128,2.882500033,26.23333359,25.76666641,302,157,236.8333333,716693.4271,5.596429308,Dense settlements,clade80,1.580352296,259.2560959,59.08103879,453.0597839,11.59844494,26.84999275,0.516970098
P1_5,AFLP,Zhang_et_al,5,Molecular_Ecology,2010,Eastern_Asia,2009,15,Common,Floating,36,Pontederiaceae,Eichhornia,Eichhornia_crassipes,Freshwater,14.1,1401,Arable Land,Artificial,29.62,North_temper,106.52,0.398,6.375,0.23181818,27.60000038,304,89.68628693,1.711666668,18.48749924,8.933333397,199,20,96.91666667,10344045.46,1357.370524,Villages,clade20,6.742644568,1455.560562,568.6254781,565.5402222,42.73717117,17.34041782,1.355368853
P1_6,AFLP,Zhang_et_al,6,Molecular_Ecology,2010,Eastern_Asia,2009,15,Common,Floating,31,Pontederiaceae,Eichhornia,Eichhornia_crassipes,Freshwater,1.9,109,Forest-Subtropical/tropical swamp,Forest,25,North_temper,102.63,0.323,10.39166641,0.461851845,19.81666565,1888,89.72039795,1.417500014,15.13749981,9,186,14,76.41666667,10215.63834,0.593226247,Urban,clade40,1720.654898,1037236.048,30304.93077,641.2124634,23.23328972,15.69073673,1.455815792
P1_7,AFLP,Zhang_et_al,7,Molecular_Ecology,2010,Eastern_Asia,2009,15,Common,Floating,29,Pontederiaceae,Eichhornia,Eichhornia_crassipes,Freshwater,14.3,1403,Plantations,Artificial,22.85,North_tropical,108.23,0.534,7.200000286,0.313043461,28.5,86,89.9308548,2.109166672,21.98333359,15.69999981,240,31,121.25,7228.308731,1.319158152,Villages,clade20,276.4065145,6437.953308,6829.352214,467.7625732,31.97848511,22.28824552,1.042352676
P1_8,AFLP,Zhang_et_al,8,Molecular_Ecology,2010,Eastern_Asia,2009,15,Common,Floating,28,Pontederiaceae,Eichhornia,Eichhornia_crassipes,Freshwater,14.3,1403,Plantations,Artificial,22.83,North_tropical,108.27,0.578,7.391666889,0.319985561,28.70000076,80,89.68196869,2.109166672,22.22083282,15.96666622,231,30,118.3333333,15562658.33,936.2366613,Urban,clade20,3.902970165,484.7798487,428.1065992,467.7625732,31.97848511,22.12305133,1.055065155
P1_9,AFLP,Zhang_et_al,9,Molecular_Ecology,2010,Eastern_Asia,2009,15,Common,Floating,31,Pontederiaceae,Eichhornia,Eichhornia_crassipes,Freshwater,2.2,202,Savanna-Moist,Savanna,24.47,North_temper,118.08,0.49,7.199999809,0.314410477,27.75,6,89.95826721,2.145833343,21.06666565,19.46666718,169,24,90.08333333,529420.4834,1.250218422,Urban,clade20,394.2682048,101309.6064,51176.87889,492.8019104,24.78240013,22.27350044,1.061354756
P1_10,AFLP,Zhang_et_al,10,Molecular_Ecology,2010,Southern_Asia,2009,15,Common,Floating,34,Pontederiaceae,Eichhornia,Eichhornia_crassipes,Freshwater,3.6,306,Shrubland-Subtropical/tropical moist,Shrubland,-6.48,South_tropical,106.83,0.499,7.816666603,0.822807007,25.68333435,127,89.14595032,2.560000042,26.13333321,26.08333397,360,164,270.8333333,47673.7653,10.70736893,Villages,clade80,32.55968044,7730.98822,197.1036599,429.9589844,38.6689949,27.33844694,0.614219964
